"kw","km","year","ac","gears","hatchback","wagon","coupe","price"
96,196082,2005,0,0,1,0,0,2350
60,258670,2005,0,0,0,1,0,3000
74,151236,2006,0,0,1,0,0,4100
78,161000,2010,1,0,0,1,0,5500
88,137000,2003,1,0,0,1,0,3200
64,181000,2005,0,0,0,1,0,3200
60,160585,2004,0,0,1,0,0,3100
79,196000,2002,0,0,0,1,0,2000
64,240000,2006,0,0,0,1,0,3950
74,227090,2005,0,0,1,0,0,3400
75,200000,2002,0,0,0,0,1,2000
63,259438,2009,0,0,0,1,0,5700
59,212000,2002,0,0,1,0,0,1800
75,198000,2002,0,0,0,1,0,1850
78,210000,2002,0,0,0,0,1,2200
88,250000,2004,0,0,1,0,0,2700
96,186224,2008,1,0,0,1,0,3800
75,160000,2001,1,0,0,1,0,2300
66,140000,2010,0,0,0,1,0,6299
82,135826,2006,1,0,1,0,0,3000
